Geneid,Cal27_K36me2_WT_2,Cal27_K36me2_WT_1,Cal27_K36me2_NSD1KO_1,Cal27_K36me2_NSD1KO_2
DHCR24,386,485,251,472
DNAJC16,725,887,560,715
MARK1,4588,5909,3041,4434
TNR,933,1112,1168,333
MORN1,454,374,289,266
GPX7,37,56,23,9
CACYBP,203,321,165,206
SCP2,3448,3611,2243,2923
PAPPA2,868,971,1270,324
RALGPS2,5301,6543,3210,4574
ANGPTL1,0,0,0,0
CEP104,647,501,501,527
FAM20B,1258,1482,952,1185
TCEANC2,1159,1200,982,1144
TMEM59,521,675,308,496
LRRC42,300,452,243,387
WRAP73,149,166,201,176
NPHS2,43,85,52,19
MRPL37,236,238,192,230
ICMT,127,140,110,141
RPL22,44,73,30,42
CHD5,146,187,98,54
QSOX1,809,850,626,756
STXBP3,1187,1911,930,1506
PHF13,82,118,81,96
ERRFI1,233,385,291,439
PARK7,264,348,197,314
ELAPOR1,1326,1371,238,100
OPRD1,213,179,128,56
AMPD2,81,90,94,70
SRSF4,435,599,338,547
MECR,493,570,416,508
KCNC4,679,574,210,218
EDEM3,1695,2452,1284,1814
WDR77,84,161,81,105
ATP5PB,137,280,153,210
RAP1A,4331,5629,2558,3486
HDAC1,643,667,586,618
CAPZA1,887,1473,729,1258
S100PBP,718,882,585,741
RNF19B,503,670,334,520
SCAMP3,62,79,55,71
TRIM62,594,483,363,459
ASH1L,5834,6702,3945,5614
DLGAP3,127,178,147,65
SFPQ,33,94,52,61
RHOU,54,36,54,13
GON4L,1789,1873,1295,1533
ARHGEF2,503,556,407,386
LAMTOR2,42,75,41,61
MEF2D,457,447,400,474
DOCK7,6753,8715,5224,7034
SRM,28,40,48,34
FBXO2,77,87,59,69
FBXO6,103,80,87,65
C1orf21,7615,9182,5095,7477
SWT1,4504,4936,2133,2692
MAD2L2,112,83,86,61
DNAJC6,4533,5684,2663,3470
LEPR,5626,7187,1472,2879
IVNS1ABP,258,544,294,432
KIAA2013,38,49,40,71
MFN2,208,232,169,241
PRG4,272,328,89,48
MIIP,154,104,118,102
SMG7,2073,3159,1621,2521
NCF2,649,677,383,398
PDC,679,721,132,44
SLC35D1,1521,1964,993,1465
PLA2G4A,5553,6596,1786,1646
GADD45A,12,37,14,34
PRAMEF1,7,4,5,0
PRAMEF12,8,5,5,3
WLS,3346,4587,2112,3011
PRDM2,2183,2528,1918,2232
RGS2,82,107,41,49
RPE65,372,649,390,386
RO60,861,1181,630,872
AMPD1,224,266,53,30
UCHL5,1275,1951,1070,1409
BCAS2,181,220,130,175
SRSF11,723,1095,578,941
CTH,711,842,495,676
AGMAT,141,109,30,12
OLFML3,30,32,8,9
TNNI3K,13,17,2,0
CFHR3,0,0,0,0
PLEKHM2,790,729,619,692
CRYZ,643,814,552,554
PHTF1,1798,2013,1364,1715
ZBTB17,513,732,421,540
CD58,1597,2280,1010,1577
TFAP2E,172,148,115,81
CD2,236,204,27,10
TTF2,720,1014,864,802
NR5A2,4979,5572,793,241
KIF21B,253,353,106,59
TMEM9,402,375,239,264
ADPRS,21,54,35,57
MAP7D1,268,355,209,370
WARS2,3178,4295,2247,3117
HAO2,190,211,82,30
OSCP1,735,866,230,363
MRPS15,86,96,86,72
EXOC8,74,159,73,139
GNPAT,725,792,590,718
TSNAX,0,0,0,0
AIRIM,68,110,77,122
RRAGC,330,418,243,311
NID1,817,931,251,95
LGALS8,487,671,269,372
NT5C1A,65,61,43,16
HPCAL4,85,91,16,13
MTR,2147,2714,1761,2059
BMP8B,149,69,29,15
MYCL,73,89,30,16
SIPA1L2,7016,8262,1332,2754
ZP4,340,440,47,8
RLF,1918,2489,1467,2161
KMO,2277,3083,639,1739
ZNF684,353,370,228,340
KCNQ4,159,229,125,44
RIMS3,562,814,106,66
AKT3,11718,16768,8246,12090
ETV3,163,230,149,210
ACADM,817,1062,553,746
ST6GALNAC5,7077,10655,2029,3444
SLAMF1,96,101,121,41
CD48,126,130,64,22
ADGRL2,24483,32100,5021,8053
PADI2,698,500,109,62
SDHB,477,591,371,538
MFAP2,71,50,11,7
RPF1,337,510,244,394
KDM5B,1523,2131,1076,1680
UAP1,767,949,725,838
ACTL8,168,184,171,72
CTBS,161,304,116,202
RGS4,147,239,27,8
KLHL12,526,618,443,555
IGSF21,438,452,587,219
SSX2IP,1515,1930,1067,1494
ZNHIT6,1451,2290,1248,1892
PLA2G2D,40,71,15,1
RBBP5,512,652,426,591
GBP3,171,279,123,190
GBP1,98,252,163,210
KIF17,422,354,342,335
GPR89A,1007,521,381,442
CDK18,328,260,281,163
RAB29,126,152,100,122
CD160,453,572,178,213
ECE1,2082,2384,1289,1493
HMGCL,253,275,244,265
GALE,14,29,29,30
ID3,11,19,1,10
CR2,739,974,128,38
CD46,661,1142,610,968
PRPF3,274,285,222,279
APH1A,30,59,31,49
P3H1,301,290,234,255
SLC2A1,341,495,159,336
EBNA1BP2,70,101,44,90
CDC20,21,30,33,39
MPL,218,243,73,50
ARTN,20,34,21,21
IPO13,266,263,247,275
ATP6V0B,30,26,16,34
B4GALT2,124,147,97,85
ERI3,2315,2546,2138,2587
PTCH2,245,198,45,22
AKR1A1,233,279,175,208
PRDX1,479,371,97,120
PIK3R3,65,70,52,58
TSPAN1,158,257,37,59
BLZF1,401,716,363,491
CCDC181,1442,1935,277,130
SLC19A2,634,931,448,646
FAAH,178,150,171,116
NSUN4,232,244,194,249
TMED5,725,1109,602,891
MROH9,392,450,451,131
DR1,474,796,368,645
CNN3,840,911,611,933
PRRC2C,1534,2557,1368,2019
F3,62,126,110,115
ABCD3,2905,4197,2175,3208
VAMP4,1169,1449,801,1130
DPH5,954,1185,684,833
FASLG,283,375,37,22
PTBP2,2525,4056,2211,3082
TNFSF4,869,1012,64,24
PRDX6,117,187,94,154
DARS2,485,556,423,478
HSD11B1,1271,1438,296,403
IRF6,0,0,0,0
UTP25,377,578,321,468
PLPPR5,5538,8869,1158,293
PLPPR4,735,1308,176,52
SERPINC1,135,125,53,34
RCAN3,948,1012,681,885
SYF2,101,136,55,91
RSRP1,32,75,29,48
SLC35A3,8,14,0,2
RCOR3,1130,1532,744,1122
STMN1,368,585,252,334
MTFR1L,90,99,77,107
MAN1C1,683,851,421,183
NEK2,282,350,330,244
RPS6KA1,554,479,511,518
DHDDS,425,467,368,448
NENF,331,280,204,259
NSL1,1986,2428,1300,1713
PROX1,628,397,326,89
ARID1A,1231,1868,961,1459
CENPF,1083,1357,1309,1265
RPA2,251,271,207,261
PPP1R8,285,342,231,281
STX12,963,1113,825,1023
MTARC2,868,935,449,629
SLC5A9,71,45,58,15
OSBPL9,6392,8159,3642,5382
TXNDC12,440,514,350,446
KIF14,1487,1688,1583,1445
TNNT2,43,71,59,22
DDX59,1282,1827,795,1186
CAMSAP2,2571,4127,2018,3305
ATF6,5597,7359,4204,5741
C1orf54,235,191,157,133
CA14,143,135,38,25
ANKRD13C,2793,3621,1849,2778
SGIP1,7166,9598,1389,487
DCLRE1B,125,143,139,103
CASQ2,1519,1955,171,102
OLFM3,3818,5318,717,144
RAB3GAP2,3052,4155,2359,3178
C1orf198,631,664,496,558
TRIM67,303,252,132,69
HEATR1,512,801,593,604
CSF3R,212,158,36,14
TNN,232,316,211,73
MRPS14,188,210,112,142
CENPL,584,557,423,475
TNFSF18,448,773,52,29
SEC16B,704,972,518,814
GORAB,349,550,363,437
TAF12,1243,1066,621,729
NPPB,0,8,3,2
UBIAD1,338,298,330,340
TARDBP,50,85,37,40
TNFRSF8,288,301,177,72
PRAMEF2,4,3,7,1
ECHDC2,437,453,151,78
RGSL1,1307,1820,345,146
LHX4,211,312,105,55
RNF2,1767,2351,1198,1773
TRMT1L,1026,1491,753,929
GJA8,49,74,32,4
DESI2,1303,1716,1182,1526
ADGRB2,227,295,65,29
HCRTR1,86,75,73,30
ZCCHC17,1467,1458,1190,1449
FABP3,142,100,60,44
KHDRBS1,403,577,360,593
TMEM39B,403,400,312,355
POLR3GL,26,53,10,22
TMEM54,62,64,74,77
ZSCAN20,462,465,394,445
CSMD2,1118,1097,1745,441
HPCA,25,38,31,6
LRIF1,264,564,171,230
TMIGD3,914,1194,178,86
CLCC1,624,677,462,610
GPSM2,175,253,70,143
FMOD,20,34,29,6
MYOG,6,13,7,2
LAX1,288,253,47,45
COPA,478,760,468,619
CD244,137,215,89,31
LY9,225,253,98,32
RPL5,0,5,0,2
ODF2L,1378,2059,1025,1382
PTGFR,7147,8292,861,237
SPATA1,1414,1860,855,1113
TRMT13,226,371,218,291
LRRC39,726,759,187,108
RWDD3,59,103,53,71
ZNF644,2766,4665,2464,3520
CCDC18,2698,3506,2282,2760
RPAP2,2673,3335,1731,2260
CDKN2C,354,512,191,257
RNF11,1132,1562,769,1206
ATPAF1,652,889,551,763
STIL,1003,1114,1208,1063
LPGAT1,2772,3175,1973,2650
BATF3,159,226,39,26
G0S2,24,19,4,6
PFKFB2,485,582,339,441
C4BPA,925,1090,135,45
C4BPB,287,338,37,17
MSTO1,578,579,266,226
ATG4C,2448,3081,1993,2535
HNRNPR,492,932,480,781
ZNF436,119,270,107,180
PSMB2,603,811,496,753
AGO3,4016,4708,2768,3788
UROD,46,53,34,42
ST3GAL3,3,4,0,0
TMEM53,461,487,249,218
HECTD3,46,49,40,48
DNAJC8,420,496,315,433
AHDC1,977,1143,702,951
IFI6,47,75,52,84
INTS11,80,85,104,93
RGS13,924,1054,504,665
HIVEP3,6799,8532,1021,368
PPCS,61,79,41,67
EDN2,67,73,28,7
AUNIP,571,856,517,730
EMC1,410,361,323,367
PLA2G5,64,99,37,12
UBR4,1072,1517,1189,1528
HP1BP3,531,861,432,644
MACF1,8684,10847,5702,8431
CEP85,761,826,604,718
ARHGEF16,226,357,245,233
LRRC47,134,157,136,155
SESN2,240,328,197,273
SMPDL3B,187,200,59,36
ATP5IF1,246,253,119,146
MED18,77,109,49,76
THEMIS2,199,145,85,68
UBE4B,2973,3150,2232,2831
CASZ1,1875,1695,1073,622
GJA9,0,0,0,0
CAP1,395,587,398,501
PPT1,305,385,284,356
ACAP3,108,112,99,81
C1orf159,359,362,371,376
CA6,199,222,55,29
NPHP4,2045,1673,2063,1866
CHD1L,1055,1346,1059,1193
PEX11B,109,123,65,98
FMO5,969,892,549,485
PIAS3,89,101,80,91
PRKAB2,296,545,227,329
NR0B2,22,24,13,2
LIN28A,54,57,56,21
SPATA6,385,474,595,180
LRRC41,274,414,282,353
FCRLA,52,69,24,8
HSD17B7,327,203,138,179
ZRANB2,115,323,194,208
DAP3,854,918,695,885
RHBG,91,74,25,15
KHDC4,115,215,125,172
ATP1A4,185,364,100,39
NES,24,30,18,5
BCAN,64,57,72,17
CRP,4,35,4,2
ARHGEF11,2324,2378,1789,2071
RAB25,154,139,89,108
HAPLN2,11,22,13,4
APCS,23,36,0,1
FCRL2,56,105,111,27
DCAF8,218,369,217,296
SYT11,120,167,78,22
MMACHC,157,163,142,125
DPH2,22,31,29,47
TOE1,0,0,0,0
NASP,525,739,560,658
MUTYH,3,4,2,0
PATJ,9892,12132,7355,9575
KANK4,962,1033,221,99
ANGPTL3,0,0,0,0
FBXO44,76,86,63,80
CPLANE2,92,72,23,22
CASP9,576,520,383,247
CHRM3,9644,12920,1727,432
CHI3L1,10,14,16,10
MYBPH,12,23,15,2
PIK3C2B,1329,1566,766,1196
DSTYK,1589,1674,1075,1412
CHIT1,24,31,40,6
SLC41A1,338,324,368,319
LGR6,875,1158,276,115
TMCC2,715,630,352,279
EPHB2,3938,3936,818,1488
SRRM1,135,346,199,257
GNAT2,147,154,92,82
GSTM1,0,0,0,0
PRPF38B,102,221,131,184
REG4,233,267,65,28
TSPAN2,1056,1434,122,130
TSHB,165,241,14,3
GSTM5,69,67,16,4
GSTM3,84,76,32,38
SYT6,246,304,176,73
VAV3,12687,18444,3128,4651
CHIA,141,226,88,29
PSRC1,48,62,33,48
HMGCS2,254,336,60,37
PTPN22,1521,1877,217,105
SORT1,1980,2483,491,280
WNT2B,1019,882,275,181
PTGFRN,1663,2224,1192,1865
LAMTOR5,69,98,49,67
ADAM30,33,39,20,5
NOTCH2,2623,2470,1285,1994
TRIM45,229,214,152,141
CEPT1,991,1516,852,1146
CD101,1128,1145,392,652
VTCN1,2105,2573,332,211
NGF,1571,2155,687,1366
AP4B1,168,217,153,172
CFHR4,1143,1234,116,28
NAV1,1472,2142,1193,572
CDC73,3510,5275,2736,4005
TIMM17A,172,186,140,183
CRB1,5886,7369,789,251
CFHR5,1061,1238,121,54
PUM1,2166,3557,1726,2906
SPOCD1,517,565,75,80
YARS1,382,533,304,620
PHC2,2476,2917,1552,2266
CDCA8,184,163,258,192
GNL2,231,356,241,307
AGO4,1166,1031,774,952
HOOK1,1684,2302,1415,1961
CYP2J2,690,782,505,423
BTF3L4,528,703,404,647
TUT4,3685,4239,2664,3775
PRPF38A,124,253,138,183
AGT,210,300,126,63
ZNF670-ZNF695,199,227,62,32
PCNX2,8783,10805,6591,8542
KCNK1,1185,1836,1151,1495
URB2,513,591,507,515
EGLN1,1,1,0,1
CAPN9,243,309,172,54
COG2,920,1248,808,989
ABCB10,903,857,656,741
NTPCR,664,825,565,694
TAF5L,665,864,549,707
GLUL,111,170,85,103
STX6,876,1236,748,1187
RGS8,738,629,99,54
RNASEL,319,429,230,306
DHX9,376,685,435,630
KIAA1614,344,299,207,176
CEP350,4401,5961,3087,4636
NPL,940,1135,522,299
NIBAN1,4695,6555,3602,3753
PIGC,0,0,0,0
LAMC1,3264,4454,2546,3570
RC3H1,1771,2448,1272,1990
EPRS1,1082,1677,850,1349
HLX,4,1,5,5
VPS45,1854,2075,1384,1651
IL10,46,57,10,3
KCTD3,1280,1986,1113,1525
RPS6KC1,6885,8287,4940,6656
BCAR3,7101,9356,4113,5938
TTLL7,4698,6233,2847,3510
FNBP1L,3750,4998,2240,3705
KYAT3,877,1258,664,1008
GTF2B,822,1187,564,842
BRDT,1458,1631,240,73
RABGGTB,73,132,67,116
IFI44L,399,1410,341,792
GIPC2,2914,3598,317,136
ARHGAP29,1639,2161,1457,1770
IFI44,111,520,110,189
SLC44A5,12811,15567,4698,5148
CLCA2,1141,1332,437,229
DNASE2B,656,794,47,24
DBT,1520,1813,1058,1389
RTCA,277,451,254,383
IL19,1077,1131,192,74
SLC2A5,174,205,86,25
RERE,13641,15938,8401,11990
MMEL1,81,86,84,23
CFAP74,214,221,176,63
PRDM16,600,560,746,257
CELA2A,234,199,30,16
PADI3,568,810,82,98
FHAD1,3591,3854,478,555
PADI1,999,1161,71,87
EPHA2,210,321,209,276
ARHGEF19,220,243,112,60
EFHD2,153,242,177,241
PEX14,3959,4701,2856,3634
PGD,139,209,131,179
MYOM3,238,247,159,64
SH3BGRL3,4,12,8,5
CNKSR1,94,122,89,122
RPL11,31,53,34,49
IL22RA1,387,315,282,208
ZNF593,0,0,0,0
C1orf216,54,84,49,52
KIAA0319L,2958,3318,1944,2761
EVA1B,0,0,0,0
C1orf94,82,70,127,24
DMRTA2,6,13,15,11
MAP3K6,69,73,63,87
FCN3,38,39,5,3
GPN2,130,159,95,147
SYTL1,130,164,80,123
WDTC1,1457,1428,949,979
CELA3A,239,89,20,5
NBPF3,917,756,556,649
HSPG2,1047,1126,1045,1195
ITGB3BP,2538,3143,1714,2309
SERBP1,168,357,196,351
BCL10,139,233,101,176
CCN1,12,39,17,43
