Geneid,Cal27_K36me2_WT_2,Cal27_K36me2_WT_1,Cal27_K36me2_NSD1KO_1,Cal27_K36me2_NSD1KO_2
ARL1,254,364,238,298
GLT8D2,1255,1577,310,247
MTERF2,210,222,152,146
SOCS2,63,86,59,79
NFYB,340,517,373,430
WASHC3,1317,1665,900,1338
APAF1,1865,2037,1659,1755
TAS2R8,33,41,4,1
PLBD1,1330,1536,318,171
TAS2R10,38,42,14,9
PRB2,37,20,2,3
PYROXD1,731,923,457,672
IAPP,0,0,0,0
KCNJ8,206,72,46,11
TAS2R7,34,32,3,3
BCL2L14,640,605,155,87
TAS2R9,20,26,5,2
TBC1D15,2504,3403,1705,2555
RBM19,1834,1607,1958,1757
CIT,3893,3701,3780,3728
IFT81,2559,2914,1825,2297
ACADS,188,142,143,117
HVCN1,138,210,122,70
DDX54,196,213,220,206
MED13L,10229,14679,7417,10760
RASSF8,4563,6650,2451,3724
BHLHE41,96,115,16,29
SSPN,3789,4786,351,167
ITPR2,16898,21979,9490,15876
CCDC91,13454,19653,9496,14946
ATF1,1515,1896,926,1388
TSFM,0,0,0,0
NEUROD4,21,31,38,4
ARHGAP9,81,58,42,15
NCKAP1L,117,199,159,57
MMP19,47,72,20,7
PFDN5,34,64,32,48
SPATS2,4773,5299,3414,4461
ORMDL2,0,0,0,0
NR4A1,255,276,100,68
PDE1B,47,50,45,22
HOXC13,130,156,105,123
CDK2,72,92,80,77
LRP1,977,598,748,781
HOXC11,23,34,18,12
ATG101,78,92,77,79
NFE2,77,76,16,14
HOXC12,10,13,4,5
IKZF4,469,381,419,411
SMUG1,100,110,91,104
TUBA1B,10,22,18,23
EEF1AKMT3,0,1,0,0
WNT1,3,5,16,4
PIWIL1,74,68,104,23
ZNF384,282,321,231,293
EMG1,0,0,0,0
PZP,262,447,199,59
HELB,866,1106,745,892
RAP1B,1383,2009,1115,1599
IL22,97,161,14,9
TSPAN8,5629,10243,1188,286
BEST3,1765,2346,220,203
RAB3IP,1707,2367,1165,1739
PTPRB,3830,4930,411,194
DYRK2,384,607,332,432
YEATS4,609,840,647,638
METTL25,4293,5168,2038,2631
CCNT1,347,534,331,462
PUS7L,1056,1558,844,1146
GALNT8,0,0,0,0
KCNA5,0,0,4,0
CRACR2A,2324,2488,653,367
CLIP1,2812,3093,2093,2771
CCDC62,1068,1307,164,107
HIP1R,372,394,269,302
MTRFR,396,459,333,442
RAN,38,47,27,54
NTS,317,399,50,21
BTG1,53,97,39,88
LRRIQ1,6832,9228,1153,1627
RLIG1,253,416,243,310
TMTC1,8582,9048,916,290
KRAS,1119,1622,894,1158
IPO8,1774,2505,1416,1885
CCDC59,77,168,63,87
ZFC3H1,624,1111,556,853
PPHLN1,3811,5312,2740,3630
FKBP11,0,0,0,0
ARF3,0,3,0,0
TMEM106C,76,75,63,52
SLC38A2,67,131,55,83
EMP1,520,630,331,420
SOX5,30312,40677,3835,1047
RERG,3790,4918,448,133
SLCO1B1,3748,4716,2046,2984
KLRD1,658,569,84,19
KLRC1,415,623,44,34
SPX,114,142,35,10
PRH2,0,0,0,0
TAOK3,6595,8482,4362,6193
USP30,687,674,564,573
SDS,36,25,27,7
MSI1,84,127,71,20
HNF1A,86,71,44,17
FBXO21,591,709,622,678
TBX3,18,43,62,17
OASL,233,187,216,228
HRK,98,75,63,28
RNFT2,1280,825,483,640
P2RX4,673,716,199,333
BICDL1,2613,2049,1151,1660
DTX1,64,91,76,38
TRAFD1,270,503,195,397
ATP5MC2,98,159,67,126
DNAJC14,23,29,28,21
CD63,24,37,25,33
PRPH,5,9,4,2
AVIL,93,67,91,64
AMHR2,120,83,17,12
LACRT,8,4,6,1
GDF11,136,137,111,131
GLS2,2,1,0,0
ITGA7,55,98,53,29
TESPA1,109,138,127,22
FAM186B,392,344,300,300
RDH5,0,0,0,0
AGAP2,93,70,84,38
BLOC1S1,0,0,0,0
KRT85,109,121,9,7
CDK4,17,26,16,24
PPP1R1A,23,41,11,11
TROAP,81,81,121,96
TSPAN31,12,36,24,26
B4GALNT1,48,53,49,28
TFCP2,2019,2343,1257,1924
COQ10A,38,43,33,23
FAIM2,163,231,64,33
PAN2,239,235,178,206
ESPL1,267,236,329,253
KRT7,497,614,28,28
ZC3H10,157,216,83,81
HNRNPA1,18,59,23,40
ACVR1B,920,1095,584,929
OS9,464,486,388,469
MIP,0,4,0,1
KCNH3,171,187,56,25
KCNMB4,2220,2686,370,929
USP15,4477,7518,3365,5181
GNS,824,1149,710,967
CPM,2946,3482,309,131
MDM2,476,705,392,564
ISCU,41,80,48,82
ALDH1L2,948,1434,462,878
STAB2,1204,1706,595,195
USP44,511,627,112,79
SCYL2,1687,2377,1318,1883
CKAP4,78,140,69,104
PLXNC1,1580,2173,995,675
APPL2,1144,1397,866,1108
PWP1,235,316,262,246
DRAM1,1054,1236,709,887
WASHC4,803,1526,718,1171
SLC41A2,5472,6410,2687,3416
B4GALNT3,403,419,339,143
PDE6H,265,333,21,10
ERP27,814,1110,90,38
ETV6,5764,8853,4855,6991
GABARAPL1,108,208,98,177
KIF21A,5282,7501,3947,5007
CPNE8,8262,11851,5919,8373
YARS2,79,117,89,91
FGD4,7601,8568,4733,6620
ALG10,108,165,111,115
PIK3C2G,14469,19122,7579,9546
SINHCAF,796,1166,681,1151
PLCZ1,2119,3318,469,225
AEBP2,2978,3861,1630,2392
SLCO1C1,1882,2424,1236,1944
ETFBKMT,381,399,92,36
ETNK1,1969,3101,1511,2146
ZCRB1,0,0,0,0
TMEM117,16656,21001,10743,12827
PRICKLE1,3571,4309,1975,3486
C1RL,145,233,151,209
NDUFA9,0,0,0,0
CLSTN3,338,308,297,313
KLRG1,169,231,71,18
VAMP1,96,112,77,89
TAPBPL,89,103,66,89
CD27,97,127,67,53
RBP5,69,75,79,55
PEX5,345,402,284,309
PIANP,12,19,15,8
SLC38A4,2472,3394,887,1588
AMIGO2,68,126,65,111
SCAF11,1588,2716,1367,2166
COL2A1,103,112,44,32
PPFIA2,17620,24126,1983,610
ANP32D,37,36,2,2
LLPH,155,194,106,118
LRIG3,1093,1667,437,1000
MARCHF9,44,48,55,32
INHBE,20,34,8,1
GLIPR1,130,214,118,186
TPH2,1277,1994,309,106
PHLDA1,56,156,59,123
TMEM19,181,185,109,159
LGR5,3030,4374,516,172
PTPRQ,8721,11620,1854,2113
DUSP6,53,108,66,77
POC1B,2881,3443,1867,2443
TMTC3,1657,2647,1058,1826
LUM,247,374,46,18
KERA,191,259,30,4
SNRPF,109,217,125,180
AMDHD1,323,348,207,198
NEDD1,1073,1624,1105,1335
SYCP3,353,365,211,258
ASCL1,2,10,13,3
GAS2L3,1829,2233,1265,1566
TMEM132B,990,922,1361,393
SLC15A4,395,515,481,514
TDG,337,492,266,376
RITA1,99,86,79,95
SDSL,136,111,57,46
MMAB,168,179,174,186
GLTP,547,559,351,472
GIT2,1117,1277,811,1049
TCHP,172,172,162,180
FAM222A,418,659,148,80
FOXN4,59,57,72,28
SUOX,107,67,74,84
CCDC65,0,0,0,0
SLC39A5,46,33,47,21
TARBP2,48,50,43,46
RDH16,130,133,18,7
DHH,14,17,15,7
ACVRL1,93,94,38,13
GPR84,18,9,9,7
NPFF,0,0,0,0
NABP2,61,59,38,56
CELA1,270,264,35,10
SMARCC2,202,220,152,220
KANSL2,282,371,273,357
CERS5,845,895,608,758
MAP3K12,143,150,103,77
ITGB7,88,77,40,20
GALNT6,573,710,491,490
CSAD,472,468,295,283
LMBR1L,181,193,168,158
MYG1,56,63,55,74
ESYT1,115,136,123,120
TMBIM6,238,380,225,352
ANKRD52,109,117,111,144
KRT71,100,101,18,8
ZNF740,89,116,63,109
SBNO1,1050,1111,892,1148
MORN3,292,185,66,35
SETD1B,289,280,321,308
VPS33A,0,0,0,0
VPS37B,565,935,360,790
RHOF,128,171,30,26
DENR,151,257,172,213
SRRM4,308,327,471,130
ENSG00000144785,137,151,97,145
HMGA2,2777,4526,3161,4087
KLRF1,622,873,132,81
CLEC1A,1002,1029,100,47
ABCB9,1099,945,496,526
RILPL2,376,302,275,292
DHX37,311,270,296,282
UBC,4,15,6,12
CACNA2D4,280,352,278,113
DCP1B,196,220,225,140
CACNA1C,1830,2694,1746,602
KCNA6,4,12,9,0
NOPCHAP1,669,765,555,700
TMEM263,323,573,364,469
ABTB3,4102,6486,974,305
UBE3B,848,861,615,744
RAD9B,585,550,166,116
PLBD2,545,390,448,399
SLC2A13,10614,11486,2299,5879
GXYLT1,1909,2542,1358,1790
TWF1,155,303,134,205
PTPRO,7721,10319,1100,327
EPS8,8938,14194,4754,6603
ANO4,5885,7353,1435,540
AMN1,1819,1803,996,1108
BICD1,7892,9311,5146,6456
GLT1D1,241,244,286,85
TMEM132D,1436,1386,2341,520
HSPB8,26,34,46,16
PFKM,422,506,346,368
LMNTD1,4999,6116,533,184
MED21,172,261,139,206
RASSF3,4055,4411,1833,2104
PTPRR,8415,11219,971,278
TMBIM4,0,0,0,0
GRIP1,8834,9096,1276,529
KIF5A,138,185,104,35
WIF1,1292,1066,276,84
CABP1,68,75,61,23
SPPL3,3975,4980,2705,4071
C12orf43,187,170,146,185
CFAP251,1720,1890,1117,1393
HPD,270,282,60,28
LRRC43,223,260,42,22
PTMS,54,48,55,49
C1R,186,166,116,137
DCD,6,4,17,6
ITGA5,238,318,255,245
ZNF385A,232,303,154,289
FMNL3,985,910,337,169
AQP5,18,24,7,1
RACGAP1,790,956,692,737
LARP4,1345,1815,1196,1668
TAMALIN,35,26,28,11
KRT84,166,127,12,7
KRT82,229,298,37,11
CLEC1B,603,595,87,59
TMEM52B,531,900,101,136
BORCS5,3109,3661,1878,2331
C12orf50,1626,1972,209,53
E2F7,705,961,783,664
OTOGL,9543,11915,1085,487
SMCO2,1689,1811,1054,996
PDZRN4,6634,8882,1525,447
CCDC38,334,435,106,39
KCNC2,6522,9103,1249,918
TCP11L2,948,1192,528,936
SVOP,349,310,264,91
IKBIP,800,965,516,736
AVPR1A,222,365,40,9
DEPDC4,782,773,484,510
LRTM2,0,0,0,0
SPIC,98,110,41,14
FRS2,3479,5615,2396,3986
CCT2,93,201,116,153
MYRFL,3014,3484,320,104
CLEC4E,14,10,30,8
CLEC4D,14,37,44,13
RIMKLB,2080,2389,1699,2126
A2ML1,259,328,157,63
IQCD,672,785,112,90
HSP90B1,122,201,188,157
GPR182,43,24,39,23
ZBTB39,101,119,81,81
TAC3,238,219,42,34
MYO1A,122,127,54,22
NEMP1,449,389,375,369
NAB2,40,52,24,39
STAT6,376,362,160,186
ATP23,484,558,289,393
PIP4K2C,154,152,117,144
MARS1,116,196,110,203
MBD6,49,60,34,54
POP5,20,24,17,36
ZNF641,167,195,129,131
LALBA,2,7,5,3
CACNB3,96,126,113,84
KMT2D,249,285,232,257
RHEBL1,70,42,69,52
TUBA1A,14,19,20,10
TUBA1C,671,796,326,292
NCKAP5L,518,561,479,468
AQP2,35,43,17,8
GPD1,64,96,35,13
ANKRD33,22,10,10,2
KRT80,183,213,220,263
KRT1,48,23,18,5
SPRYD3,171,118,145,155
IGFBP6,30,43,15,16
SOAT2,165,171,57,18
TCTN2,680,496,530,524
CRADD,6952,9202,1839,2127
WNT10B,48,25,13,13
SP7,23,28,26,6
KRT8,837,1147,159,98
KRT78,203,226,25,7
SDR9C7,268,251,38,14
TMT1B,13,3,7,1
KRT86,687,971,68,35
KRT75,147,199,48,20
DENND5B,5909,6967,2002,4523
KRT6C,60,28,9,2
PYM1,505,581,370,486
KRT4,38,23,15,3
KRT74,80,58,13,8
KRT72,91,105,54,15
PA2G4,26,40,39,45
KRT83,134,213,21,5
SMAGP,0,0,0,0
STAT2,99,148,81,136
OR9K2,14,23,22,0
GTSF1,100,120,43,20
RNF34,442,518,430,437
ATF7,1,0,1,0
TRIAP1,0,0,0,0
PLA2G1B,19,23,17,6
CHST11,7722,9093,4834,6852
KSR2,979,1063,1395,408
ATF7IP,3141,5939,2185,4132
PAH,155,214,213,57
RHNO1,179,212,146,186
FBXL14,44,32,35,19
NINJ2,1792,1554,373,177
FAM90A1,10,9,8,5
C3AR1,182,166,26,16
CLEC7A,448,602,113,281
CLEC12A,1081,1203,532,772
MUCL1,67,94,61,13
PDE3A,10159,13026,2040,2324
RND1,94,56,51,22
OR10AD1,0,2,4,1
HOXC5,0,0,0,0
RARG,285,304,168,255
KRT2,48,13,15,9
HECTD4,5350,5421,3583,4573
CCDC63,261,427,125,41
ADAMTS20,6363,9359,883,343
ABCD2,2293,2913,339,441
SLC2A14,396,449,158,60
OLR1,349,501,78,72
GLIPR1L1,1558,2136,839,1159
THAP2,193,285,123,149
CEP83,4716,5926,3011,4483
NUDT4,615,718,370,505
MSRB3,6890,9598,3021,2057
LEMD3,2397,3830,1933,2952
KICS2,913,1150,567,920
ADCY6,299,257,220,166
REP15,25,30,16,19
DDX23,187,208,153,157
ATP2A2,774,1113,601,1077
C12orf76,145,139,94,117
MYO1H,382,454,296,160
CMKLR1,97,67,104,35
RESF1,895,1106,545,822
FBXW8,2354,2628,2135,2485
CSRP2,452,562,328,400
INHBC,96,130,47,13
DDIT3,25,35,20,16
DCTN2,139,191,140,199
CTDSP2,393,459,285,385
APOF,16,16,3,3
OR10P1,0,0,0,1
ALG10B,383,437,172,167
MLXIP,1274,1625,843,1025
SLC35E3,735,756,466,450
A2M,233,387,195,33
UNC119B,123,199,122,176
B3GNT4,24,22,17,12
SPRYD4,0,0,0,0
VSIG10,745,641,457,487
WSB2,452,538,342,421
PXMP2,189,141,164,173
ANKLE2,222,241,224,243
POLE,648,516,767,543
ANO6,6488,8193,4346,5826
ULK1,322,256,232,260
PUS1,169,157,162,117
PAWR,1532,2467,1128,1968
CD163,793,993,107,46
C12orf54,397,474,164,190
CD163L1,1809,2969,986,544
CCDC184,4,4,2,2
UBE2N,1006,1546,742,1065
CAPZA3,46,58,3,0
ASB8,140,198,106,151
DPY19L2,3058,2217,259,65
DNAJC22,87,87,29,12
COX14,128,123,58,112
DTX3,39,45,60,41
APOLD1,1805,2263,740,812
RFLNA,65,95,53,17
C12orf42,2439,2711,630,185
TMTC2,14499,17543,5749,9973
ZNF664,728,964,646,828
SMCO3,0,0,0,0
PTPN11,1436,1727,1275,1663
SLC17A8,223,277,181,59
OR2AP1,18,8,11,3
OR6C4,18,17,19,4
OR6C2,104,114,106,118
PCED1B,5523,7719,3464,5790
R3HDM2,3291,3597,2412,3101
OR10A7,2,6,0,0
BBS10,110,190,84,133
C12orf40,2773,3300,350,200
GARIN6,0,0,0,0
FGD6,2591,4087,1644,2822
ALX1,784,1362,398,577
GLIPR1L2,1565,2163,463,517
EIF2S3B,500,595,85,25
HOXC9,0,0,0,0
HOXC10,0,2,1,0
CAPS2,2038,2967,1094,878
TMEM132C,785,681,1114,261
DDN,17,22,8,5
RNF41,189,202,141,159
PRKAG1,0,0,0,0
MGAT4C,32741,46302,6042,5180
ARL6IP4,16,15,7,25
SHMT2,38,55,22,38
C1S,940,855,195,163
NXPH4,36,33,36,14
MFSD5,28,42,12,24
HCAR2,60,49,21,16
GALNT9,257,245,243,101
C12orf60,372,494,134,109
GPR19,564,570,228,153
TMEM119,33,44,16,9
CCDC60,410,379,541,155
DAZAP2,42,63,37,44
PMCH,10,6,5,9
EP400,1815,1823,1512,1709
KLRC4,5,10,3,6
TBK1,721,1171,619,926
KMT5A,208,268,124,213
DIABLO,0,0,0,0
SNRNP35,107,146,92,131
POU6F1,302,361,83,54
GDF3,13,25,19,5
KNTC1,1602,1666,1641,1491
LPAR5,170,126,162,189
XPOT,367,579,388,654
NELL2,12847,17184,4070,4350
NDUFA12,741,1127,585,831
OR6C70,23,15,10,16
NOC4L,48,36,61,44
BRI3BP,801,596,588,591
ANKS1B,4254,6965,4413,1159
KRT76,78,43,23,7
DDX51,32,38,43,38
C12orf56,2625,2377,469,202
ATP6V0A2,913,846,705,713
TMT1A,36,42,7,3
KRT6B,132,95,14,16
PARPBP,2242,2612,1673,2267
STAC3,41,23,19,10
SP1,584,614,365,541
DBX2,935,1506,119,42
NDUFA4L2,12,17,16,6
KRT79,105,67,21,10
NTF3,159,249,180,76
PMEL,98,121,30,16
OR6C76,0,4,4,5
FAM186A,2112,2306,171,117
KRT73,35,39,21,12
KRT5,62,60,16,26
TAS2R42,22,35,6,3
PPP1CC,314,422,258,410
KRT3,45,44,14,6
TMPRSS12,1075,1290,152,60
BCDIN3D,76,68,64,43
CFAP73,44,42,18,8
TPCN1,1069,1211,978,1084
C1QL4,10,18,17,3
ZDHHC17,2879,4215,2105,3043
NAP1L1,828,1488,861,1201
H1-7,22,16,10,2
PLEKHG7,1835,2144,262,112
DPPA3,13,23,13,4
MCRS1,57,84,63,68
P2RX2,13,6,5,6
ASCL4,2,9,3,1
OR6C75,16,23,25,12
OVCH1,1617,1629,268,78
RILPL1,896,726,767,800
OR6C6,10,8,14,0
H3-5,17,14,1,2
CLEC2A,1340,1356,317,246
CFAP54,8680,10535,1409,507
TMEM120B,1133,1002,821,779
LRRK2,4933,6208,624,260
SLC15A5,2567,3409,341,92
ALKBH2,50,76,53,70
ARID2,5919,8293,4195,6297
KRT77,86,49,52,17
MYBPC1,1618,1799,310,111
ZNF140,412,417,263,329
ZNF605,192,181,265,170
MYL6B,59,64,52,45
NCOR2,3109,3234,2526,2776
ANAPC7,255,342,248,349
NACA,11,19,3,9
PPTC7,1352,1867,800,1216
SCN8A,5680,6343,831,706
HCAR1,127,170,29,33
SRGAP1,9117,14062,7047,11120
ZNF705A,66,32,5,5
PCBP2,143,244,109,225
MFAP5,123,228,57,34
CCER1,54,60,10,0
DNAH10,661,890,454,158
OR6C74,34,48,52,7
RPS26,32,31,13,25
HOXC6,0,0,0,0
H4C16,0,1,1,2
PRB3,18,22,14,3
TEAD4,1304,1055,1243,1196
CLEC9A,1179,1364,121,47
IRAK4,789,995,528,698
MRPL42,887,1220,634,825
ZNF84,343,500,314,333
PRIM1,178,204,183,177
CLEC4C,78,90,44,26
TMEM116,1901,1883,761,819
PHETA1,80,111,65,42
HOXC4,79,92,66,43
ZNF26,464,537,475,474
TXNRD1,4046,4061,1073,1255
MMP17,83,82,70,49
TAFA2,14651,20344,2138,604
OR5BS1P,11,30,8,4
CEP290,2594,3725,2117,2545
RASSF9,1335,1824,855,872
LRRC10,16,8,7,3
FICD,34,52,54,28
LRCOL1,22,19,25,1
IL31,10,5,4,3
ATXN2,2678,3291,2281,3051
TCTN1,321,229,180,216
FAM216A,360,407,286,319
UQCC6,211,252,117,122
SARNP,0,0,0,0
OR6C68,8,4,5,1
OR6C65,0,2,5,1
OR6C3,2,11,10,8
OR6C1,22,23,35,12
PRR13,55,56,31,67
KRT6A,66,97,36,42
KRT81,0,0,0,0
MUC19,4667,6153,694,263
MANSC4,529,508,119,88
ETFRF1,238,270,161,200
KLRC2,118,97,15,23
KLRC3,0,0,0,0
CLEC6A,60,56,74,19
NANOGNB,16,36,21,5
STK38L,2604,3493,1873,2651
SLC48A1,177,229,132,196
TAS2R19,0,0,0,0
TAS2R50,0,0,0,0
TAS2R14,0,0,0,0
TAS2R13,0,0,0,0
DDX47,199,327,196,305
KLRK1,9,32,4,19
ZNF891,252,321,190,212
HIGD1C,0,0,0,0
C12orf71,36,69,13,17
ACSM4,434,393,135,31
PHB2,42,30,32,44
TMEM233,106,132,126,33
TAS2R46,33,47,23,38
ANHX,40,23,32,17
ENSG00000228144,70,108,35,55
RPL41,16,14,4,7
PRB4,29,27,12,0
TSPAN19,589,838,146,116
PRH1,28,35,23,28
AK4P3,368,318,91,27
C12orf75,1460,1799,619,768
ARHGEF25,17,11,18,4
H2AJ,0,5,0,0
PGAM5,92,107,77,94
GPR162,10,10,11,6
PRB1,33,39,9,0
ATXN7L3B,150,230,147,151
EID3,0,0,0,0
TAS2R43,8,2,6,3
HCAR3,41,52,13,11
ENSG00000255639,134,147,142,92
ENSG00000255641,260,308,51,90
KLRC4-KLRK1,613,1263,404,699
TAS2R20,0,0,0,0
TAS2R30,62,92,36,67
ZNF10,0,1,1,0
TAS2R31,0,0,0,0
SMIM10L1,102,198,98,123
CLEC12B,280,339,53,85
KLRF2,639,759,218,225
ENSG00000256825,80,87,74,32
ENSG00000256861,33,29,27,25
SLC5A8,612,710,177,71
ENSG00000256950,3,1,2,1
SLCO1B3-SLCO1B7,4259,6024,2796,4002
ENSG00000257062,1400,2104,940,1430
GATC,4,12,4,9
ENSG00000257390,0,2,0,0
ENSG00000257411,3,14,4,5
GALNT4,0,0,0,0
CNPY2,0,0,0,0
ENSG00000257767,94,106,52,23
ENSG00000257921,0,2,1,0
SPMIP11,366,366,110,47
ENSG00000258052,32,53,6,3
ENSG00000258064,149,170,25,27
MAP1LC3B2,345,335,52,23
ENSG00000258311,2,5,3,3
ENSG00000258830,28,24,13,17
POC1B-GALNT4,0,0,0,0
FIGNL2,161,142,57,32
ATF7-NPFF,3,4,4,2
ENSG00000272822,40,40,34,49
ENSG00000272921,2,6,2,1
ENSG00000273049,122,136,58,53
GRIN2B,1349,1970,1365,386
ENSG00000275778,5203,7436,3300,5018
ORAI1,280,290,177,213
TEX52,114,82,49,33
ENSG00000283536,0,1,1,2
ENSG00000284393,435,458,82,44
OR8S1,35,12,3,0
TMDD1,2,2,2,0
SMIM41,98,110,61,31
ENSG00000284934,0,0,0,0
ENSG00000285133,0,0,0,0
ENSG00000285238,9,14,7,9
ENSG00000285528,124,157,33,15
ENSG00000285625,76,60,53,52
ENSG00000285854,517,579,134,134
ENSG00000285901,125,151,132,61
ENSG00000287908,14,16,14,7
ENSG00000288591,1323,800,326,128
ENSG00000288623,0,0,0,0
ENSG00000288710,0,0,0,0
ENSG00000289695,419,394,54,25
ENSG00000289766,0,0,0,0
ENSG00000290146,0,0,0,0
ENSG00000292259,0,0,0,0
MYCBP2,6322,9979,6929,10547
FBXL3,0,0,0,0
AKAP11,1173,1851,1060,2132
MIPEP,4503,5514,3238,4233
IFT88,3484,3957,2383,2982
MYO16,17007,22039,3048,5267
ZIC2,64,76,55,90
F7,29,18,25,11
IPO5,659,1126,361,961
ATP11A,2874,2953,2043,2872
FRY,4983,8320,1560,470
ATP12A,127,156,77,21
DCT,494,757,74,86
CPB2,701,1236,217,184
DIS3,234,416,289,403
PIBF1,7368,9553,7779,10772
TDRD3,6268,8492,6172,8172
NUFIP1,1036,1509,905,1723
PDS5B,6441,8661,4328,6206
SLC15A1,934,798,78,92
DOCK9,8116,9722,4918,11639
ANKRD10,666,905,536,928
TGDS,334,563,169,604
RUBCNL,2064,2275,302,261
NALCN,11432,16518,4338,11698
FGF14,16017,23740,2516,1083
HTR2A,1342,1651,205,79
NDFIP2,2308,4320,807,4350
TNFSF13B,306,255,177,136
FNDC3A,6432,9393,6943,10116
MLNR,3,3,10,3
CDADC1,1230,1375,1203,1391
CAB39L,4113,4740,3621,4356
KLF5,309,608,222,592
STK24,2282,3154,929,3795
DNAJC3,3367,4315,1224,4791
UGGT2,7618,9579,2826,10709
ARHGEF7,3046,3407,2723,4426
FGF9,415,939,124,34
SGCG,297,277,320,102
PARP4,1166,1310,1130,1272
SUPT20H,778,1146,618,776
MRPS31,909,968,644,749
SLC25A15,409,394,333,325
KPNA3,2724,3497,2029,4266
FLT1,1809,2742,517,193
RGCC,290,423,202,412
VWA8,12526,17345,8916,19471
DGKH,4802,7611,4202,8640
KATNAL1,3435,3630,2245,2887
INTS6,1982,3345,2219,3715
ACOD1,283,242,48,21
DHRS12,0,0,0,0
MEDAG,122,101,47,18
TSC22D1,4554,6339,3286,7105
CLN5,39,32,6,2
OLFM4,636,695,129,31
KLF12,14983,16740,15435,20982
UCHL3,1402,2064,1863,2605
PCDH17,2296,3506,599,160
ENOX1,13894,21952,2042,943
TNFSF11,353,738,157,66
MTRF1,1164,1376,829,1031
SOHLH2,8,37,1,1
DNAJC15,3144,4528,2090,4625
PROSER1,457,783,428,571
UFM1,238,354,200,246
WBP4,368,510,298,361
ELF1,2162,3579,1499,2730
SMAD9,1624,1966,287,107
HSPH1,289,500,286,387
KBTBD7,116,192,75,128
ALG5,845,1286,791,793
EXOSC8,65,142,95,102
PSPC1,1624,1840,1211,1573
ZMYM2,2462,3707,1920,3063
GJB6,139,130,89,29
GJA3,334,352,301,255
FLT3,661,1264,263,89
RPL21,15,98,53,99
MTIF3,255,342,216,294
GTF3A,132,155,83,101
RASL11A,59,59,20,7
UBL3,2496,3272,1592,2123
CCDC70,90,139,23,10
SPRYD7,496,665,339,780
EBPL,664,773,468,908
ATP7B,486,651,372,155
ZC3H13,2274,3617,1887,3811
GPR18,0,0,0,0
CLYBL,3229,3758,1193,692
TMTC4,1310,1359,1083,1479
RAP2A,1029,1599,446,1633
SLC10A2,646,747,96,49
ABCC4,7811,8303,2600,10047
EFNB2,1124,1725,869,2020
SOX21,19,15,4,7
TM9SF2,1260,1799,981,2047
TUBGCP3,1869,2140,1638,2825
MCF2L,461,470,464,231
F10,80,70,67,34
PCID2,428,544,419,810
PROZ,143,142,108,143
TNFRSF19,1973,3450,339,105
RNF6,53,137,52,97
CDC16,441,516,381,707
ATP8A2,11559,14925,1986,597
MTUS2,2975,3026,1972,578
ZMYM5,705,953,512,760
USPL1,785,1184,711,904
XPO4,3199,4390,2567,3460
TPTE2,405,325,303,90
POMP,130,258,165,210
CDK8,4865,6227,3618,4944
ALOX5AP,1127,1575,131,51
WASF3,3292,4550,1785,2197
RNF17,3660,4198,397,150
GPR12,10,28,23,2
DCLK1,7271,9985,1239,326
CCNA1,320,352,50,16
COG6,3938,5564,2401,3117
SPART,1841,2356,545,662
RXFP2,118,401,197,61
EPSTI1,1926,3711,1902,4024
TRPC4,8451,13035,1752,1339
POSTN,1215,1796,161,44
RFXAP,288,380,208,233
TPT1,40,84,34,75
GPALPP1,1136,1263,764,1461
STOML3,466,531,63,40
KL,711,983,142,53
RFC3,4166,5520,1668,1202
STARD13,7293,9391,4185,5326
GGACT,1266,1185,447,335
COL4A2,4688,5271,3435,6030
CLDN10,3486,2954,209,260
DZIP1,1848,1933,403,1442
UBAC2,4047,5103,3228,6374
ARGLU1,480,866,481,1017
BIVM,0,0,0,0
ERCC5,0,0,0,0
TPP2,1576,2230,1441,2613
POGLUT2,356,323,267,363
CARS2,872,766,748,1117
NEK3,614,601,783,814
PCDH8,36,29,53,30
VPS36,632,924,674,1109
RNASEH2B,2056,2633,2230,2884
CKAP2,286,440,466,461
CNMD,515,455,150,53
TBC1D4,6786,8875,6466,9621
THSD1,837,920,779,1058
BORA,398,572,619,717
LRCH1,5821,7802,4189,8350
SUCLA2,2372,2699,1481,3059
RCBTB1,1159,1243,911,1575
MED4,336,506,300,664
PHF11,591,781,837,988
COG3,1200,1891,989,2217
LMO7,7386,10386,6631,10522
SCEL,3243,3880,1165,495
ITM2B,728,1267,418,1234
SPRY2,43,105,25,111
NUDT15,195,237,128,266
EDNRB,2448,3521,242,241
RCBTB2,1352,1483,1478,1400
LCP1,2151,2783,684,262
SETDB2,1500,1896,1681,2191
NUP58,575,1164,625,754
MTMR6,854,1205,802,945
SLC46A3,444,620,52,39
SLC7A1,1131,1634,952,1539
PDX1,3,6,11,7
LNX2,2073,3258,1608,2323
N4BP2L1,581,654,293,278
BRCA2,1951,2221,1842,1895
SMIM2,462,601,46,24
WDFY2,6220,8160,5268,8686
HNRNPA1L2,25,13,7,15
LPAR6,0,0,0,0
ESD,450,723,370,762
RB1,4234,5438,3269,6156
DIAPH3,16635,22734,17986,24732
SLAIN1,2188,2580,349,131
RBM26,1574,3024,739,3250
METTL21C,74,112,29,21
MBNL2,4459,6273,1637,7445
RNF113B,0,0,0,0
ZIC5,160,152,95,134
ABHD13,411,512,379,685
RAB20,786,825,425,931
GRTP1,407,257,410,538
CUL4A,767,882,654,1132
KLHL1,15361,22481,2446,748
